indice_tiempo,reservas_internacionales_bcra_saldos,reservas_internacionales_bcra_prom_mensual_de_saldos_diarios,tipo_de_cambio_moneda_de_cada_momento,tipo_de_cambio_en_pesos_equivalentes,agregados_monetarios_en_pesos_bym_totales,agregados_monetarios_en_pesos_bym_en_circulacion,agregados_monetarios_en_pesos_bym_en_entidades,agregados_monetarios_en_pesos_bm,agregados_monetarios_en_pesos_m1,agregados_monetarios_en_pesos_m2,agregados_monetarios_en_pesos_m3,agregados_usd_m1,agregados_usd_m2,agregados_usd_m3,prestamos_totales_total,prestamos_totales_pesos,prestamos_totales_usd,prestamos_al_sector_privado_total,prestamos_al_sector_privado_pesos,prestamos_al_sector_privado_usd,prestamos_al_sector_publico_total,prestamos_al_sector_publico_pesos,prestamos_al_sector_publico_usd,depositos_totales_total,depositos_totales_pesos,depositos_totales_usd,depositos_al_sector_privado_total,depositos_al_sector_privado_pesos,depositos_al_sector_privado_usd,depositos_al_sector_publico_total,depositos_al_sector_publico_pesos,depositos_al_sector_publico_usd,tasa_interes_deposito_caja_de_ahorro_pesos,tasa_interes_deposito_caja_de_ahorro_usd,tasa_interes_deposito_plazo_fijo_30_59d_pesos,tasa_interes_deposito_plazo_fijo_30_59d_usd,tasa_interes_obligaciones_entidades_financieras_exterior,tasa_interes_prestamos_interfinancieros_hasta_15d_pesos,tasa_interes_prestamos_interfinancieros_hasta_15d_plazo_usd,tasa_interes_prestamos_empresas_primera_linea_30d_pesos,tasa_interes_prestamos_empresas_primera_linea_30d_plazo_usd,tasa_interes_adelantos_en_cc_sect_priv_no_financiero_pesos,tasa_interes_adelantos_en_cc_al_sect_priv_no_financiero_usd,tasa_interes_prestamos_hipot_sect_priv_5_10_anios_pesos,tasa_interes_prestamos_hipotecarios_sect_priv_5_10_anios_usd
1959-01-01,184.9,,65.85,6.585000000000001e-12,7.170970000000001e-09,5.828620000000001e-09,1.3423500000000002e-09,8.646050000000001e-09,1.2113330000000002e-08,1.4970450000000002e-08,1.6290220000000003e-08,,,,1.854229e-08,1.8203550000000004e-08,3.3874e-10,1.091553e-08,1.057679e-08,3.3874e-10,7.626760000000002e-09,7.626760000000002e-09,,1.0792270000000002e-08,1.0792270000000002e-08,,8.581660000000001e-09,8.581660000000001e-09,,2.2106100000000005e-09,2.2106100000000005e-09,,,,,,,,,,,,,,
1959-02-01,202.9,,65.96,6.5960000000000006e-12,7.3037100000000014e-09,5.917730000000001e-09,1.3859800000000002e-09,9.170920000000001e-09,1.252354e-08,1.5477010000000003e-08,1.6765820000000005e-08,,,,1.8905040000000002e-08,1.8585580000000004e-08,3.1946000000000005e-10,1.0867170000000002e-08,1.0547710000000001e-08,3.1946000000000005e-10,8.03787e-09,8.03787e-09,,1.1298660000000002e-08,1.1298660000000002e-08,,8.88085e-09,8.88085e-09,,2.4178100000000004e-09,2.4178100000000004e-09,,,,,,,,,,,,,,
1959-03-01,193.8,,68.27,6.827000000000001e-12,7.64088e-09,6.129740000000001e-09,1.5111400000000002e-09,9.143620000000002e-09,1.2700160000000003e-08,1.5699630000000003e-08,1.690699e-08,,,,1.887207e-08,1.855244e-08,3.1963000000000006e-10,1.0880230000000001e-08,1.0560600000000001e-08,3.1963000000000006e-10,7.991840000000002e-09,7.991840000000002e-09,,1.122782e-08,1.122782e-08,,8.9793e-09,8.9793e-09,,2.2485200000000004e-09,2.2485200000000004e-09,,,,,,,,,,,,,,
1959-04-01,188.4,,73.79,7.379000000000002e-12,7.93152e-09,6.420380000000001e-09,1.5111400000000002e-09,9.3864e-09,1.2990800000000003e-08,1.599027e-08,1.719763e-08,,,,1.8985440000000002e-08,1.8665810000000002e-08,3.1963000000000006e-10,1.0880230000000001e-08,1.0560600000000001e-08,3.1963000000000006e-10,8.105210000000001e-09,8.105210000000001e-09,,1.122782e-08,1.122782e-08,,8.9793e-09,8.9793e-09,,2.2485200000000004e-09,2.2485200000000004e-09,,,,,,,,,,,,,,
1959-05-01,212.3,,85.42,8.542000000000001e-12,8.442480000000001e-09,6.931340000000001e-09,1.5111400000000002e-09,9.565740000000001e-09,1.3501760000000002e-08,1.650123e-08,1.770859e-08,,,,1.90479e-08,1.872827e-08,3.1963000000000006e-10,1.0880230000000001e-08,1.0560600000000001e-08,3.1963000000000006e-10,8.167670000000001e-09,8.167670000000001e-09,,1.122782e-08,1.122782e-08,,8.9793e-09,8.9793e-09,,2.2485200000000004e-09,2.2485200000000004e-09,,,,,,,,,,,,,,
1959-06-01,212.1,,90.3,9.030000000000002e-12,8.67348e-09,6.182970000000001e-09,2.4905100000000003e-09,9.41975e-09,1.4023070000000002e-08,1.694717e-08,1.8675300000000003e-08,,,,2.0535580000000004e-08,2.0172260000000004e-08,3.6332000000000004e-10,1.2639580000000003e-08,1.2276260000000002e-08,3.6332000000000004e-10,7.896000000000002e-09,7.896000000000002e-09,,1.2942880000000002e-08,1.2942880000000002e-08,,1.0760380000000002e-08,1.0760380000000002e-08,,2.1825000000000003e-09,2.1825000000000003e-09,,,,,,,,,,,,,,
1959-07-01,237.0,,85.06,8.506000000000001e-12,8.598910000000001e-09,6.74759e-09,1.8513200000000002e-09,9.987230000000001e-09,1.4008350000000003e-08,1.7014830000000003e-08,1.8488720000000004e-08,,,,2.0374560000000004e-08,2.0048090000000004e-08,3.2647000000000006e-10,1.2383370000000003e-08,1.2056900000000003e-08,3.2647000000000006e-10,7.991190000000001e-09,7.991190000000001e-09,,1.2191670000000002e-08,1.2191670000000002e-08,,9.745970000000002e-09,9.745970000000002e-09,,2.4457000000000004e-09,2.4457000000000004e-09,,,,,,,,,,,,,,
1959-08-01,269.7,,84.02,8.402e-12,8.381330000000002e-09,6.741360000000002e-09,1.6399700000000003e-09,1.025015e-08,1.4402990000000003e-08,1.7513550000000003e-08,1.8800070000000005e-08,,,,1.9882860000000002e-08,1.9551280000000004e-08,3.3158000000000006e-10,1.1960040000000002e-08,1.1628460000000003e-08,3.3158000000000006e-10,7.92282e-09,7.92282e-09,,1.2509160000000003e-08,1.2509160000000003e-08,,9.609400000000002e-09,9.609400000000002e-09,,2.8997600000000003e-09,2.8997600000000003e-09,,,,,,,,,,,,,,
1959-09-01,299.8,,83.35,8.335000000000001e-12,8.443140000000002e-09,6.868860000000002e-09,1.57428e-09,1.063871e-08,1.4609160000000003e-08,1.780136e-08,1.906999e-08,,,,2.0028280000000002e-08,1.9677160000000003e-08,3.511200000000001e-10,1.2067460000000002e-08,1.1716340000000003e-08,3.511200000000001e-10,7.96082e-09,7.96082e-09,,1.2651550000000002e-08,1.2651550000000002e-08,,9.732600000000002e-09,9.732600000000002e-09,,2.9189500000000006e-09,2.9189500000000006e-09,,,,,,,,,,,,,,
1959-10-01,344.0,,82.08,8.208e-12,8.536610000000002e-09,6.914600000000001e-09,1.6220100000000003e-09,1.1209890000000002e-08,1.5061930000000004e-08,1.832581e-08,1.959676e-08,,,,2.0362570000000004e-08,1.9994950000000005e-08,3.6762e-10,1.2298890000000003e-08,1.1931270000000003e-08,3.6762e-10,8.063680000000002e-09,8.063680000000002e-09,,1.3132580000000001e-08,1.3132580000000001e-08,,1.005152e-08,1.005152e-08,,3.0810600000000005e-09,3.0810600000000005e-09,,,,,,,,,,,,,,
